Gene,GO Terms
PANK1,GO:0015937 GO:0016310
SERGEF,GO:0007165 GO:0050709
SLAMF9,GO:0008150 GO:0042110 GO:0002373
PLA2G3,GO:0010629 GO:0001675 GO:0002532 GO:0006644 GO:0006658 GO:0007288 GO:0010744 GO:0010976 GO:0019372 GO:0031394 GO:0032308 GO:0034374 GO:0034375 GO:0042116 GO:0043303 GO:0043524 GO:0046337 GO:0046470 GO:0046471 GO:0046473 GO:0046488 GO:0048469 GO:0050482 GO:0060271 GO:0060376 GO:1900017 GO:1900222 GO:1903595 GO:2001135
DVL3,GO:0001934 GO:0032880 GO:0035556 GO:0035567 GO:0038031 GO:0043507 GO:0043547 GO:0045893 GO:0045944 GO:0050821 GO:0060070 GO:0060071 GO:0150012 GO:0090179
NT5C1B,GO:0006195 GO:0046085
ZNF479,GO:0006357 GO:0006355
FBXO47,
SPR,GO:0006729 GO:0006809
RAB20,GO:0071346 GO:0090383 GO:0090385 GO:0006886
SPAG17,GO:0007283 GO:0044458 GO:1905198 GO:1990953 GO:0003351 GO:1904158
RNASE11,GO:0050830
ZNF804B,
PSD4,GO:0032012
MROH7-TTC4,
TIGD7,
BEND2,
PDZRN4,
OR5B3,GO:0050911 GO:0007608 GO:0007186
MFN2,GO:0034497 GO:0001825 GO:0006626 GO:0006915 GO:0006986 GO:0007006 GO:0008053 GO:0046580 GO:0048593 GO:0048662 GO:0051646 GO:0061734 GO:0120162 GO:1904707 GO:1905461
KRT6C,GO:0045104 GO:0031424 GO:0045109
GABRR1,GO:0007214 GO:0050804 GO:0099505 GO:1902476 GO:0042391 GO:0050877 GO:0007165 GO:0007268 GO:0034220
NFATC3,GO:0000122 GO:0006954 GO:0045944 GO:1902894 GO:1905064 GO:0006357 GO:0033173 GO:0001816
DBX2,GO:0006357
KLHL38,
CRX,GO:0006355 GO:0007399 GO:0007601 GO:0009887 GO:0030154 GO:0045944 GO:0050896 GO:0006357
YY1AP1,GO:0006351 GO:0008283 GO:0030154 GO:0051726 GO:0006355
GARIN5A,GO:0032481 GO:0045087 GO:0051607
KIAA2013,
CYLC2,GO:0007010 GO:0007283 GO:0030154
RPP38,GO:0001682 GO:0006364 GO:0090502
PER3,GO:0000122 GO:0045187 GO:0050821 GO:0032922 GO:0043153
PGM1,GO:0006006 GO:0006094 GO:0006096 GO:0005975
AURKAIP1,GO:0045862 GO:0032543 GO:0045839
LYPD5,
CA5A,
MMD,GO:0032880 GO:0045666 GO:0045860
ALDH8A1,GO:0042573 GO:0042574 GO:0042904 GO:0097053
SOD2,GO:0000303 GO:0001666 GO:0001836 GO:0001889 GO:0003032 GO:0003069 GO:0006357 GO:0006749 GO:0006801 GO:0007507 GO:0007626 GO:0008217 GO:0008285 GO:0008630 GO:0008631 GO:0009409 GO:0009410 GO:0009791 GO:0010042 GO:0010043 GO:0010269 GO:0010332 GO:0010729 GO:0014823 GO:0019430 GO:0022904 GO:0030097 GO:0030335 GO:0032364 GO:0032496 GO:0033591 GO:0034021 GO:0034599 GO:0035900 GO:0035902 GO:0042542 GO:0042554 GO:0043524 GO:0045429 GO:0045599 GO:0046686 GO:0048147 GO:0048666 GO:0048678 GO:0048773 GO:0050665 GO:0050790 GO:0051289 GO:0051602 GO:0051881 GO:0055093 GO:0060586 GO:0071000 GO:0071361 GO:1902176 GO:1902631 GO:1904706 GO:1905461 GO:1905932
KRTAP13-3,
TTLL2,GO:0000226 GO:0018095
ALDH18A1,GO:0006536 GO:0006561 GO:0006592 GO:0016310 GO:0019240 GO:0055129
HDAC8,GO:0000122 GO:0006325 GO:0006338 GO:0007064 GO:0031397 GO:0031647 GO:0032204 GO:0016575
OLA1,GO:0046034
GPRC5D,GO:0007186
TM9SF2,GO:0006672 GO:0006688 GO:0010908 GO:0072657
RRAGC,GO:0006351 GO:0006915 GO:0007264 GO:0008104 GO:0008380 GO:0032006 GO:0034198 GO:0043200 GO:0071230 GO:1903432 GO:0009267 GO:0010507
GALM,GO:0005975 GO:0006006 GO:0006012 GO:0033499
ZNF136,GO:0000122
EFCAB14,
GRIA4,GO:0007215 GO:0034220 GO:0034392 GO:0035235 GO:0060078 GO:0099505 GO:0050804 GO:0035249
ATG10,GO:0006497 GO:0006914 GO:0006983 GO:0015031 GO:0031401 GO:0032446 GO:0016236
ARHGAP1,GO:0007264 GO:0007266 GO:0016197 GO:0033572 GO:0051056 GO:2001136
LNP1,
YBX1,GO:0000122 GO:0001701 GO:0006355 GO:0006397 GO:0008380 GO:0008544 GO:0017148 GO:0045944 GO:0048255 GO:0048598 GO:0050658 GO:0051031 GO:0051154 GO:0051781 GO:0070934 GO:0098761 GO:1900152 GO:1903608 GO:1990428 GO:2000767 GO:2000773 GO:0010468
MARVELD3,GO:0006970 GO:0010633 GO:0045216 GO:0046329 GO:0050680 GO:1902414 GO:0070830 GO:0006511 GO:0016567
OPHN1,GO:0006930 GO:0007165 GO:0007399 GO:0007411 GO:0021707 GO:0021895 GO:0030182 GO:0031175 GO:0034329 GO:0035023 GO:0045198 GO:0048667 GO:0098880 GO:0099149 GO:1900242 GO:0030036 GO:0048488 GO:0051966 GO:1901799 GO:0030100
CABLES1,GO:0007049 GO:0051301 GO:0051726 GO:0007399
ZDHHC2,GO:0007416 GO:0018230 GO:0018345 GO:0019538 GO:0022407 GO:0042176 GO:0048168 GO:0072659 GO:1900273 GO:1903044 GO:1903076 GO:1903539 GO:1904719 GO:1905751 GO:0006612
PPP1R32,
UGT2A2,GO:0008206 GO:0052695
TNFAIP1,GO:0006915 GO:0006955 GO:0016477 GO:0016567 GO:0035024 GO:0043149 GO:0043161 GO:0045740 GO:0051260
KCNK1,GO:0006813 GO:0035094 GO:0035725 GO:0060075 GO:0071805 GO:0030322
DPYSL4,GO:0007399
MRPL32,GO:0006412 GO:0032543
TTC4,GO:0045087 GO:0051607 GO:0006457
STARD5,GO:0070508 GO:0120009
NALF1,GO:0098703
IL17RD,GO:0010719 GO:0019221 GO:0030512
KCTD1,GO:0045892 GO:0051260
TMEM74,GO:0016236 GO:0051867 GO:2001257
SAMSN1,GO:0002820 GO:0050732 GO:0050869
STX6,GO:0032456 GO:0006906 GO:0016189 GO:0032880 GO:0042147 GO:0048193 GO:0048278 GO:0006886
COL10A1,GO:0001501 GO:0030198
TMEM208,GO:0006914 GO:0006624
GCC1,
HIBADH,GO:0006574
DLC1,GO:0001843 GO:0003007 GO:0006915 GO:0006919 GO:0007165 GO:0008285 GO:0008360 GO:0021575 GO:0030036 GO:0030336 GO:0030900 GO:0032956 GO:0035024 GO:0035307 GO:0048041 GO:0051056 GO:0051497 GO:0051895 GO:1900119 GO:0035023
LRP5,GO:0002053 GO:0006007 GO:0006865 GO:0006897 GO:0008078 GO:0008203 GO:0008217 GO:0008284 GO:0010467 GO:0033687 GO:0033690 GO:0035019 GO:0035426 GO:0042074 GO:0042632 GO:0042733 GO:0042981 GO:0045600 GO:0045668 GO:0045669 GO:0045840 GO:0045893 GO:0045944 GO:0048539 GO:0051091 GO:0060033 GO:0060042 GO:0060070 GO:0060349 GO:0060612 GO:0060764 GO:0060856 GO:0061304 GO:0071901 GO:0098609 GO:0110135 GO:1902262 GO:1990963 GO:0002076 GO:0061178 GO:0046849 GO:0060444 GO:0001702 GO:0009952
CFAP91,GO:0003341 GO:0007283 GO:0030154 GO:1904158
MON2,GO:0006895 GO:0015031
TCEAL2,
ELMOD3,
C15ORF48,
UBXN10,GO:0060271 GO:0030433
OR6N2,GO:0007186 GO:0050911
NUP133,GO:0006406 GO:0006913 GO:0006999 GO:0021915 GO:0022008 GO:0048339 GO:0061053 GO:0072006 GO:0016973 GO:0006606 GO:0000972
TMCO4,
ZYX,GO:0007160 GO:0007179 GO:0007229 GO:0007267 GO:0043149 GO:0050727 GO:0071346
SOX7,GO:0001706 GO:0006357 GO:0008285 GO:0043280 GO:0045892 GO:0045893 GO:0060828 GO:0006355 GO:0030154 GO:0009653
TRAJ29,
PLXNB1,GO:0007162 GO:0008360 GO:0014068 GO:0016477 GO:0033689 GO:0035556 GO:0043547 GO:0043931 GO:0048812 GO:0051493 GO:0071526 GO:1900220 GO:1904862 GO:0030334 GO:1902287 GO:0043087 GO:0050772
USP35,GO:0006511 GO:0016579
OSTM1,GO:0030321 GO:0030316
ATF7,GO:0006355 GO:0006357 GO:0045944
OLFML2B,GO:0030198 GO:0007165
VAV2,GO:0001525 GO:0007165 GO:0007264 GO:0008361 GO:0030032 GO:0030168 GO:0038095 GO:0038096 GO:0043087 GO:0043552 GO:0048010 GO:0051056 GO:0071466 GO:0016477
KALRN,GO:0006468 GO:0007165 GO:0007399 GO:0016192 GO:0035556 GO:0048013 GO:0051056 GO:0007411
RNF144A,GO:0016567 GO:0006511 GO:0000209 GO:0032436
KRT84,GO:0001942 GO:0007010 GO:0035878 GO:0045616 GO:0045109 GO:0031424
TCIRG1,GO:0000045 GO:0001503 GO:0002158 GO:0006874 GO:0006915 GO:0006954 GO:0006968 GO:0007035 GO:0007039 GO:0007042 GO:0008284 GO:0010155 GO:0010272 GO:0010467 GO:0010468 GO:0016064 GO:0016236 GO:0021554 GO:0030010 GO:0030183 GO:0030217 GO:0030316 GO:0031529 GO:0033365 GO:0035709 GO:0035711 GO:0043029 GO:0044691 GO:0045453 GO:0045667 GO:0045851 GO:0050796 GO:0051650 GO:0060041 GO:0061484 GO:0070166 GO:0071345 GO:0090383 GO:0097188 GO:1902600
SLC66A1L,GO:1903401
ZNF664,GO:0006357 GO:0008150 GO:0006355
NXPH1,
CA13,
HELT,GO:0000122 GO:0001967 GO:0006366 GO:0007417 GO:0009791 GO:0021858 GO:0035264 GO:0045944 GO:0050767 GO:0006357 GO:0009952
COMMD10,
TNFRSF13C,GO:0002250 GO:0033209 GO:0042102 GO:0030890 GO:0031296 GO:0031295
TSGA13,
C1ORF131,
TAB3,GO:0010507 GO:0038061 GO:0043123
KRTAP5-10,
GPR137C,GO:1904263
CHST7,GO:0005976 GO:0006044 GO:0006790 GO:0030206
NRROS,GO:0006801 GO:0006954 GO:0006955 GO:0007179 GO:0014005 GO:0035583 GO:0036364
MYD88,GO:0002238 GO:0002269 GO:0002283 GO:0002755 GO:0006338 GO:0006909 GO:0006915 GO:0007165 GO:0007166 GO:0007249 GO:0007254 GO:0009682 GO:0010467 GO:0010628 GO:0014004 GO:0014070 GO:0014075 GO:0016064 GO:0031663 GO:0032481 GO:0032494 GO:0032722 GO:0032731 GO:0032740 GO:0032747 GO:0032755 GO:0032757 GO:0032760 GO:0034142 GO:0034158 GO:0042742 GO:0042832 GO:0043123 GO:0043200 GO:0043588 GO:0045471 GO:0045944 GO:0046330 GO:0048661 GO:0050671 GO:0050727 GO:0050830 GO:0051092 GO:0051607 GO:0060337 GO:0060907 GO:0070498 GO:0070555 GO:0070935 GO:0070944 GO:0071222 GO:0071260 GO:0090557 GO:0140052 GO:1900017 GO:1900227 GO:1902622 GO:2000338 GO:2000341 GO:0045087 GO:0008063
GPR61,GO:0007186 GO:0043950
STK25,GO:0006468 GO:0006979 GO:0007163 GO:0007165 GO:0007409 GO:0032874 GO:0036481 GO:0042542 GO:0046777 GO:0050772 GO:0051645 GO:0051683 GO:0090168
SH3KBP1,GO:0006897 GO:0006915 GO:0007010 GO:0007267 GO:0008360 GO:0016477 GO:0050871 GO:0007015
CNKSR3,GO:0010765 GO:0033137 GO:0070373 GO:2000651
