Oncogene/TSG Gene
RAC2
RAD17
RAD21
RAD50
RAD51
RAD51B
RAD51C
RAD51D
RAF1
RASA1
RB1
RBM10
RBM15
RECQL
RECQL4
REL
REST
RET
REV3L
RHEB
RHOA
RICTOR
RIT1
RNASEH2A
RNASEH2B
RNF43
ROBO1
ROS1
RPS6KA4
RPS6KB2
RPTOR
RRAGC
RRAS
RRAS2
RTEL1
RUNX1
RUNX1T1
RYBP
SAMHD1
SCG5
SDHA
SDHAF2
SDHB
SDHC
SDHD
SERPINB3
SESN1
SESN2
SESN3
SET
SETBP1
SETD1A
SETD2
SETDB1
SETDB2
SF3B1
SFRP1
SFRP2
SGK1
SH2B3
SH2D1A
SHOC2
SHQ1
SLFN11
SLX4
SMAD2
SMAD3
SMAD4
SMARCA2
SMARCA4
SMARCB1
SMARCE1
SMC1A
SMC3
SMG1
SMO
SMYD3
SOCS1
SOCS3
SOS1
SOX17
SOX2
SOX9
SP140
SPEN
SPOP
SPRED1
SPRTN
SQSTM1
SRC
SS18
STAG1
STAG2
STAT3
STAT5A
STAT5B
STAT6
STK11
STK19
SUFU
SUZ12
SYK
TAL1
TBL1XR1
TBX3
TCF3
TCF7L2
TCL1A
TCL1B
TENT5C
TERT
TET1
TET2
TET3
TFE3
TGFBR1
TGFBR2
TIGAR
TLX1
TLX3
TMEM127
TNFAIP3
TNFRSF14
TNFSF13
TOP1
TP53
TP53BP1
TP63
TRA
TRAF3
TRAF5
TRB
TRD
TRG
TRIM27
TRIP13
TSC1
TSC2
TSHR
TYK2
U2AF1
UBE2A
UBR5
USP8
VAV1
VAV2
VEGFA
VHL
WIF1
WT1
WWP1
WWTR1
XBP1
XIAP
XPO1
XRCC2
YAP1
YES1
YY1
ZBTB20
ZFHX3
ZFP36L1
ZFP36L2
ZNF750
ZNRF3
